Calories,Protein,Fat,Carbs,Fibre,,"Note: Protein, Fat, Carbs, Fibre, are measured in grams"
73,2,,16,0.4,,
129,3,,29,0.1,,
45,1,1,7,0.2,,
206,2,4,39,1.8,,
296,2,14,43,2.0,,
411,4,19,58,2.3,,
196,3,6,33,0.7,,
231,3,12,29,0.6,,
186,3,8,25,0.7,,
97,2,4,14,0.4,,
212,4,10,27,0.9,,
93,2,4,13,0.4,,
232,2,8,39,1.3,,
162,6,5,24,0.9,,
197,3,5,33,2.4,,
138,2,6,22,0.7,,
168,2,10,18,0.8,,
248,2,14,29,0.7,,
542,5,28,70,1.5,,
135,2,3,26,1.2,,
321,6,23,26,0.4,,
407,8,19,53,2.8,,
459,11,23,55,0.8,,
325,3,14,50,1.0,,
98,1,5,13,0.6,,
156,2,9,19,0.9,,
118,1,5,16,0.4,,
129,1,4,21,0.6,,
344,3,22,38,2.3,,
93,1,4,14,0.6,,
362,4,13,61,2.0,,
282,3,10,48,2.0,,
408,4,16,67,1.9,,
191,1,11,24,0.8,,
194,2,6,35,0.9,,
237,4,13,26,1.1,,
142,2,4,24,0.5,,
231,5,12,26,1.5,,
262,5,15,29,0.8,,
263,4,13,34,1.3,,
226,3,8,37,2.3,,
198,2,11,23,0.7,,
270,3,18,27,1.1,,
242,4,14,27,0.7,,
289,5,16,33,0.8,,
262,6,16,24,0.6,,
111,1,2,23,1.5,,
404,4,21,55,3.3,,
139,1,4,26,1.6,,
58,1,1,11,0.3,,
212,3,7,35,0.8,,
59,1,1,11,0.4,,
105,2,4,17,1.1,,
118,3,5,16,1.3,,
109,1,3,20,1.0,,
127,2,6,18,1.6,,
188,4,12,20,1.0,,
124,2,5,19,1.3,,
303,2,10,53,1.4,,
477,4,18,79,4.3,,
129,2,4,22,0.3,,
178,2,6,30,0.6,,
199,4,8,32,3.7,,
344,7,14,49,1.9,,
366,8,14,53,2.4,,
313,6,7,54,2.9,,
162,4,6,23,0.9,,
117,2,5,18,0.7,,
134,2,5,20,0.7,,
134,2,6,18,0.5,,
190,4,10,24,1.5,,
452,5,21,65,4.0,,
391,5,23,42,0.4,,
229,4,10,30,2.9,,
91,1,2,18,0.1,,
80,1,4,10,0.3,,
185,2,12,19,0.5,,
234,5,8,34,1.0,,
72,1,1,15,0.1,,
187,5,3,36,0.2,,
143,2,6,20,0.2,,
142,2,4,25,0.4,,
407,3,31,31,0.5,,
206,3,7,34,0.5,,
215,2,6,39,0.4,,
57,1,2,9,0.2,,
363,3,10,66,0.9,,
283,2,8,52,1.0,,
371,3,9,70,0.3,,
363,4,11,64,0.9,,
210,1,,47,0,,
183,1,0,10,0.7,,
99,1,0,5,0,,
140,1,0,10,0,,
149,5,3,26,0,,
131,,,32,0.3,,
0,0,0,0,0,,
237,,,9,0.1,,
246,,,6,0.1,,
3,,,0,0,,
3,,0,0,0,,
5,,,1,0,,
101,5,6,7,0,,
13,,,3,0.8,,
110,,0,28,0,,
3,,0,,0,,
107,0,0,28,0,,
3,0,,1,0,,
102,0,,26,0,,
102,0,,26,0,,
123,0,0,33,0,,
88,0,0,23,0,,
211,2,9,28,0,,
127,3,1,27,0,,
127,3,2,26,0,,
91,0,0,23,0,,
93,,,23,0,,
105,,,27,0.2,,
104,0,0,27,0,,
172,1,8,11,0,,
113,,,29,0.3,,
0,0,0,,0,,
134,0,,34,0,,
135,0,0,34,0,,
126,0,0,32,0,,
87,,,12,0.1,,
109,0,0,0,0,,
29,0,0,8,0,,
67,0,,16,0,,
3,0,,1,0,,
3,0,,1,0,,
124,0,0,32,0,,
220,,1,33,0.3,,
0,0,0,0,0,,
0,0,0,0,0,,
203,,0,17,0,,
90,,0,2,0,,
85,,0,1,0,,
104,9,1.4,12,2,,
177,11,9.3,1,14,,
186,12,9.4,1,15,,
167,10,8.7,,14,,
150,10,7.6,,12,,
202,12,10.5,1,17,,
141,14,5.8,1,9,,
86,15,0.8,3,1,,
70,3,3.4,2,5,,
103,2,6.5,1,10,,
179,12,8.8,1,14,,
132,7,7.7,2,11,,
134,9,7.3,,11,,
178,13,9.0,1,14,,
207,15,9.5,,16,,
120,8,4.4,6,7,,
141,10,6.8,1,11,,
127,13,5.2,1,8,,
27,2,1.1,,2,,
78,5,4.1,,7,,
50,4,1.8,2,3,,
90,5,4.1,3,7,,
69,6,2.2,4,3,,
181,15,6.5,7,10,,
25,2,1.1,,2,,
190,13,8.9,3,14,,
70,5,3.3,,5,,
207,9,3.4,33,6,,
238,10,3.3,38,5,,
21,,0.3,2,2,,
11,,0.6,1,1,,
9,,0.1,1,,,
18,,1.0,1,2,,
39,,2.1,2,3,,
60,,4.1,4,5,,
42,1,2.1,4,2,,
37,1,2.0,3,2,,
47,,3.4,3,4,,
145,5,2.1,24,3,,
362,10,11.9,36,20,,
68,3,1.1,10,2,,
78,3,0,15,1,,
203,9,3.8,28,6,,
255,10,3.8,41,6,,
160,2,0.9,34,2,,
260,16,3.1,36,5,,
104,6,3.8,7,6,,
296,8,4.2,53,7,,
279,10,4.7,44,8,,
166,9,1.6,28,3,,
190,8,3.3,27,5,,
62,2,1.1,11,2,,
122,10,1.6,15,3,,
15,1,0.2,2,,,
105,10,0.2,15,,,
13,1,,2,,,
178,9,6.3,13,10,,
21,1,0.8,2,1,,
108,9,1.6,13,3,,
129,9,3.3,12,5,,
146,10,3.2,14,5,,
86,8,0.1,13,,,
88,9,0.2,13,,,
155,8,5.4,12,8,,
149,4,1.6,27,3,,
138,3,0.7,23,4,,
96,3,0.2,20,,,
160,4,1.2,32,2,,
161,2,1.2,22,7,,
118,2,0.6,19,4,,
88,2,0,20,,,
128,2,0.6,22,4,,
92,2,,22,,,
127,,0.2,26,2,,
5,1,,1,,,
22,,1.3,1,2,,
21,1,1.0,1,2,,
162,6,0.6,26,4,,
110,7,0.5,13,4,,
85,7,0.5,4,4,,
28,,1.7,1,3,,
49,,3.3,,5,,
100,1,6.2,3,10,,
233,7,2.7,40,5,,
114,10,1.8,13,3,,
129,9,3.3,12,5,,
79,8,0,11,,,
183,7,2.3,30,4,,
116,8,,21,,,
94,7,0,16,,,
226,14,17,4,,,
16,3,0,,,,
59,3,6,1,,,
173,12,14,2,,,
78,6,5,1,,,
74,6,5,,,,
572,34,35,30,,,
189,13,14,4,,,
273,18,20,5,,,
319,15,24,13,,,
237,17,17,5,,,
266,24,15,9,2.2,,
483,27,18,52,0.4,,
477,16,31,33,1.1,,
289,17,13,27,1.5,,
650,30,35,53,1.8,,
319,15,15,32,1.3,,
295,22,15,18,2.6,,
200,21,9,10,2.2,,
343,12,13,44,1.3,,
632,29,39,42,2.2,,
335,33,12,23,1.2,,
283,22,17,9,0.3,,
285,15,18,16,0.9,,
270,26,9,23,4.9,,
197,7,8,24,1.1,,
310,22,7,37,2.0,,
113,5,6,9,0.7,,
523,21,29,48,2.4,,
236,3,12,29,2.5,,
192,5,8,26,1.5,,
806,50,62,8,0.6,,
576,32,32,39,1.9,,
275,12,12,31,1.3,,
167,17,8,5,0.5,,
242,10,15,18,0.9,,
223,6,6,36,3.3,,
195,6,5,31,0.2,,
276,4,16,31,1.7,,
210,9,8,25,1.5,,
219,11,9,23,1.4,,
193,8,7,24,1.8,,
250,11,12,24,1.9,,
216,7,4,38,3.4,,
456,22,19,51,3.0,,
417,24,16,44,3.3,,
584,30,28,55,2.9,,
199,9,10,17,0.5,,
359,19,19,28,4.5,,
191,15,7,15,1.0,,
532,32,25,44,3.5,,
60,1,5,3,0.3,,
110,0,12,0,,,
17,,2,,,,
34,,4,,,,
34,,4,,,,
34,,4,,,,
34,,4,,,,
34,,4,,,,
34,,4,,,,
117,0,13,0,,,
34,,4,,,,
125,0,14,0,,,
122,0,14,0,,,
122,0,14,0,,,
122,0,14,0,,,
121,0,14,0,,,
121,0,14,0,,,
122,0,14,0,,,
122,0,14,0,,,
122,0,14,0,,,
78,1,8,1,,,
15,1,1,,,,
79,,9,,,,
17,,1,3,,,
21,,,5,,,
72,,7,2,,,
33,,2,4,,,
43,,4,2,,,
11,,1,1,,,
100,,11,1,,,
51,,5,1,,,
7,,,1,,,
73,0,8,,,,
71,,8,1,,,
36,,3,3,,,
58,,5,4,,,
14,,,3,,,
44,0,4,2,,,
59,,6,2,,,
32,,2,3,,,
115,0,13,0,,,
34,,4,,,,
33,,4,,,,
17,2,1,0,,,
119,20,4,0,,,
110,18,4,0,,,
71,16,1,0,,,
156,14,7,9,,,
114,14,6,0,,,
41,4,3,1,,,
98,17,3,0,,,
88,17,2,0,,,
89,15,1,3,,,
125,22,2,4,,,
79,17,1,0,,,
62,13,1,0,,,
93,12,5,,,,
71,15,1,0,,,
68,8,1,7,,,
72,15,1,0,,,
52,11,1,0,,,
240,16,12,15,,,
265,22,15,9,,,
227,13,10,20,,,
63,7,1,6,,,
80,17,1,0,,,
84,18,1,0,,,
105,20,2,0,,,
163,18,9,0,,,
75,16,,1,,,
197,18,13,0,,,
129,18,3,6,,,
91,18,2,0,,,
58,6,2,3,,,
90,9,3,5,,,
50,4,1,5,,,
89,18,1,0,,,
71,16,1,0,,,
89,19,1,0,,,
155,17,9,0,,,
116,19,4,0,,,
106,16,4,0,,,
106,16,4,0,,,
134,18,6,0,,,
116,24,9,0,,,
113,17,4,1,,,
102,17,4,0,,,
47,7,2,0,,,
47,7,2,0,,,
162,20,8,0,,,
220,26,12,0,,,
197,22,11,1,,,
87,18,1,0,,,
30,6,,0,,,
160,14,8,8,,,
201,17,10,10,,,
96,20,1,0,,,
88,18,1,0,,,
127,18,5,0,,,
203,17,10,10,,,
87,19,1,0,,,
149,22,6,0,,,
92,15,3,0,,,
100,17,3,0,,,
59,,,15,0.1,,
72,,,19,2.6,,
55,,,15,1.5,,
67,1,,17,1.2,,
50,1,,12,2.1,,
161,2,15,9,6.7,,
105,1,,27,2.1,,
33,1,,7,4.0,,
42,,1,10,2.6,,
44,1,,11,2.0,,
43,1,,11,1.4,,
35,1,,9,1.3,,
95,,,25,1.8,,
76,0,,19,0.1,,
61,1,,16,0.1,,
24,,0,6,0.1,,
70,1,,19,2.0,,
42,1,,11,1.6,,
37,,,10,1.5,,
58,1,,15,1.3,,
73,1,,19,1.3,,
117,1,,30,1.8,,
70,1,,18,1.1,,
67,,,17,0.1,,
81,1,,20,0.1,,
50,1,,12,0.4,,
61,1,,15,0.1,,
52,1,,13,2.0,,
39,1,,10,2.1,,
69,1,,18,1.2,,
46,1,,11,2.3,,
3,,,1,0.1,,
3,,,1,0.1,,
63,1,,16,1.2,,
67,1,,18,1.9,,
29,1,,7,0.6,,
32,,,8,0.7,,
24,,,6,0.3,,
74,,,19,0.8,,
68,,,17,0.4,,
60,1,,14,2.3,,
62,1,,15,2.3,,
56,1,,13,0.1,,
59,1,,14,0.3,,
58,1,,13,0.3,,
58,1,,13,0.3,,
57,1,,15,0.2,,
29,,,7,1.3,,
38,1,,9,1.9,,
58,1,,15,1.7,,
72,1,,19,1.7,,
31,1,,8,1.7,,
96,1,,26,5.0,,
66,,,17,2.1,,
76,,,20,2.1,,
37,,,10,2.0,,
74,,,18,0.3,,
79,1,,21,1.2,,
42,,,11,1.1,,
94,1,,25,1.9,,
30,,,8,1.1,,
53,1,,13,0.5,,
72,0,0,20,0,,
96,1,,24,1.4,,
60,1,,16,1.8,,
67,1,,18,3.6,,
110,1,,29,1.3,,
34,1,,8,4.2,,
147,,,40,2.5,,
27,1,,6,1.9,,
41,1,,11,1.8,,
45,1,,11,1.5,,
38,1,,9,1.2,,
70,2,1,22,11.3,,
92,4,1,27,11.8,,
173,4,3,34,3.0,,
139,2,1,30,1.1,,
195,7,1,38,1.6,,
84,2,,19,0.5,,
102,2,,23,2.0,,
185,5,1,41,7.4,,
41,1,1,7,0.3,,
188,3,9,23,3.1,,
96,3,1,18,1.1,,
95,3,1,18,0.9,,
88,4,1,16,2.2,,
192,7,2,36,1.4,,
94,3,2,17,1.4,,
165,5,1,33,1.3,,
170,6,2,35,4.7,,
88,3,1,17,2.3,,
96,3,2,18,1.5,,
91,3,1,17,2.0,,
72,3,1,16,3.4,,
93,3,1,18,0.8,,
100,3,2,17,0.7,,
86,3,1,16,2.4,,
97,3,2,18,2.1,,
80,3,,18,2.7,,
108,1,1,23,0.7,,
134,3,1,28,2.1,,
95,3,2,18,2.2,,
75,2,4,9,0.4,,
188,11,3,28,5.2,,
123,1,3,22,1.0,,
124,3,2,30,6.1,,
103,2,,23,0.7,,
130,1,,30,0.4,,
267,6,1,57,5.4,,
93,3,,19,0.7,,
46,2,,9,0.7,,
31,1,1,6,0.4,,
69,1,4,8,0.3,,
133,4,1,26,1.5,,
126,5,1,25,2.6,,
79,3,1,24,14.1,,
126,4,4,19,0.6,,
149,5,7,16,0.7,,
116,1,1,26,0.6,,
142,2,,33,0.6,,
93,3,1,22,4.3,,
122,2,5,18,1.0,,
226,5,3,46,3.5,,
245,5,8,41,5.3,,
208,6,1,46,6.0,,
218,5,9,31,3.3,,
92,1,,21,0.2,,
172,4,1,38,2.2,,
124,5,2,23,2.9,,
132,2,1,28,1.7,,
209,7,1,42,1.8,,
112,3,,24,0.9,,
39,1,,8,0.6,,
109,2,4,17,0.5,,
121,3,1,29,3.6,,
144,5,2,28,3.5,,
120,1,1,27,0.6,,
60,1,4,7,0.4,,
225,8,2,42,1.9,,
73,3,1,12,3.4,,
122,9,3,33,5.2,,
200,7,4,35,5.3,,
131,3,3,23,2.3,,
133,3,2,25,2.3,,
141,3,2,29,2.8,,
112,4,2,20,2.7,,
99,4,2,17,2.6,,
73,3,3,10,1.1,,
112,3,3,20,0.8,,
64,1,2,11,0.4,,
94,2,1,18,0.7,,
86,2,4,11,0.5,,
220,9,3,40,3.7,,
223,9,3,41,2.2,,
302,6,,70,0.1,,
112,2,6,13,1.0,,
45,2,,9,1.4,,
70,2,1,13,1.3,,
187,5,1,47,6.7,,
371,9,13,54,2.0,,
115,4,1,24,4.0,,
128,2,3,24,0.6,,
305,5,1,67,2.0,,
110,2,,24,0.3,,
203,2,,46,1.9,,
115,3,1,24,1.5,,
109,2,,24,0.4,,
85,2,,19,0.5,,
105,2,,23,0.4,,
88,3,,18,1.6,,
167,6,2,30,1.3,,
85,2,2,14,0.9,,
75,2,1,14,2.1,,
120,4,2,21,0.9,,
113,4,3,19,1.6,,
41,1,1,7,0.6,,
198,5,1,43,7.9,,
67,2,,16,4.6,,
51,1,1,9,0.4,,
52,1,1,9,0.4,,
91,3,1,21,3.5,,
138,4,1,32,4.4,,
174,25,1,20,9.2,,
209,7,1,42,2.5,,
183,8,1,39,4.8,,
94,4,,18,0.3,,
60,1,3,7,0.2,,
60,1,3,7,0.2,,
103,1,1,24,0.8,,
61,1,3,8,1.0,,
41,1,1,8,1.2,,
159,4,3,27,1.6,,
117,1,1,27,1.0,,
103,3,4,14,0.5,,
87,2,3,13,0.8,,
130,4,1,29,4.4,,
8,1,,2,1.6,,
95,2,3,13,1.4,,
79,2,2,12,0.9,,
240,7,1,50,2.0,,
261,9,1,52,1.7,,
262,6,1,56,1.2,,
215,9,1,46,7.7,,
27,2,1,4,1.1,,
71,1,3,11,1.7,,
205,5,19,7,1.2,,
208,8,18,7,4.2,,
242,8,22,7,4.2,,
209,8,18,7,4.1,,
283,10,10,40,10.3,,
177,9,1,40,7.7,,
198,10,3,37,10.4,,
162,11,1,29,12.2,,
161,10,1,30,12.1,,
219,15,1,40,9.9,,
153,9,1,27,8.2,,
175,10,2,29,9.9,,
227,14,1,43,9.3,,
137,8,1,24,5.9,,
233,5,24,4,2.7,,
190,6,16,9,0.6,,
199,5,16,11,1.0,,
211,9,2,40,7.8,,
57,2,3,5,1.3,,
56,2,4,3,3.0,,
215,5,21,6,3.3,,
94,4,5,8,3.4,,
170,13,1,29,6.2,,
190,14,1,32,5.9,,
243,3,26,4,2.7,,
168,15,9,6,3.1,,
148,16,7,6,3.5,,
222,6,20,8,3.2,,
206,6,18,9,3.1,,
206,6,18,9,3.1,,
191,8,16,7,2.6,,
184,7,16,7,2.5,,
191,8,16,6,1.8,,
190,9,12,13,1.9,,
219,10,19,6,2.7,,
217,9,18,8,3.0,,
171,12,1,31,4.2,,
173,2,18,3,2.4,,
230,5,23,4,1.3,,
177,7,14,8,3.2,,
189,9,16,6,1.4,,
181,5,16,6,2.8,,
136,15,6,5,3.2,,
220,21,11,13,8.0,,
189,6,16,8,2.9,,
189,21,11,3,0,,
83,7,4,4,0.2,,
138,18,4,7,5.7,,
106,10,6,2,0,,
166,4,17,3,1.7,,
107,9,6,4,1.8,,
87,11,4,1,,,
130,9,10,,,,
130,9,10,,,,
194,24,10,0,,,
95,20,1,0,,,
200,26,10,0,,,
227,23,14,0,,,
181,24,8,0,,,
196,25,9,0,,,
197,27,9,0,,,
148,24,5,0,,,
171,28,5,0,,,
184,25,8,0,,,
167,23,8,0,,,
194,22,11,0,,,
214,22,13,0,,,
243,22,17,0,,,
133,24,3,0,,,
175,30,5,0,,,
158,25,5,0,,,
195,29,8,0,,,
230,20,16,0,,,
232,23,15,0,,,
164,21,8,0,,,
309,17,26,0,,,
156,25,5,0,,,
237,21,16,0,,,
183,28,7,0,,,
191,23,10,0,,,
216,22,13,0,,,
170,24,7,0,,,
146,21,6,0,,,
107,21,2,0,,,
153,7,13,3,,,
129,6,11,1,,,
127,7,9,4,,,
122,24,2,0,,,
142,19,7,0,,,
119,25,2,0,,,
161,16,10,0,,,
127,19,5,0,,,
179,20,10,0,,,
143,22,6,0,,,
187,15,14,0,,,
127,19,5,0,,,
218,20,15,0,,,
110,23,1,0,0.0,,
89,9,5,,,,
195,17,14,0,,,
153,16,9,0,,,
101,11,6,1,,,
69,9,3,1,,,
193,5,19,,,,
119,23,2,0,,,
83,11,4,,,,
75,8,4,1,,,
48,10,,1,,,
62,10,2,1,,,
91,9,5,2,,,
147,7,12,2,,,
63,8,2,4,,,
253,14,21,0,,,
128,23,3,0,,,
117,24,2,0,,,
107,20,2,0,,,
179,22,10,0,,,
150,23,6,0,,,
62,9,2,,,,
48,6,3,,,,
124,16,6,,,,
81,10,4,0,,,
118,19,4,1,,,
124,21,4,,,,
131,21,5,0,,,
119,20,3,0,,,
124,9,9,2,,,
182,21,10,0,,,
212,19,15,0,,,
194,19,12,0,,,
232,17,18,0,,,
269,16,22,0,,,
207,17,15,0,,,
203,19,13,0,,,
194,20,12,0,,,
176,19,10,0,,,
222,18,16,0,,,
238,15,19,0,,,
257,22,18,0,,,
93,4,8,1,,,
131,20,4,4,,,
129,19,5,1,,,
145,21,5,3,,,
121,26,1,0,,,
119,20,4,0,,,
123,22,3,0,,,
74,10,3,1,,,
84,4,7,,,,
252,11,22,2,,,
274,21,20,0,,,
180,22,10,0,,,
208,22,12,0,,,
175,19,11,0,,,
224,18,16,0,,,
189,22,11,0,,,
197,22,12,0,,,
199,20,13,0,,,
198,19,13,0,,,
219,17,16,0,,,
251,20,18,0,,,
108,21,2,0,,,
116,23,2,0,,,
148,22,6,0,,,
118,6,9,2,,,
185,12,15,1,,,
182,7,14,7,,,
184,11,14,2,,,
51,2,5,,,,
35,2,3,,,,
258,14,20,3,,,
147,18,8,0,,,
129,26,2,0,,,
99,20,2,0,,,
188,9,17,,,,
94,17,2,0,,,
200,14,15,,,,
50,6,3,,,,
162,17,9,0,,,
139,19,6,0,,,
176,21,10,0,,,
143,21,4,0,,,
116,21,2,0,,,
173,23,9,0,,,
136,27,2,0,,,
142,28,2,0,,,
129,18,6,0,,,
171,20,7,7,,,
120,21,3,0,,,
163,19,9,0,,,
142,23,5,0,,,
141,26,3,0,,,
110,5,9,1,,,
104,5,8,2,,,
107,5,9,2,,,
58,4,4,2,,,
93,4,7,2,,,
34,2,0.3,2,2,,
108,2,5.8,1,11,,
31,2,0.7,3,1,,
20,1,0.2,3,1,,
48,1,0.9,3,3,,
22,1,0.2,4,1,,
31,2,0.4,3,1,,
22,1,0.2,4,1,,
15,,,4,,,
11,1,,1,1,,
23,,0.3,1,2,,
13,,0.1,1,1,,
50,1,2.5,3,4,,
20,,,5,,,
12,,,3,,,
33,,,9,,,
5,,,1,,,
12,,,2,,,
81,5,2.1,7,4,,
106,,,27,,,
121,5,4.3,3,10,,
7,,,1,,,
9,,,2,,,
20,,0.1,4,,,
15,1,0,3,0,,
89,2,1.7,6,6,,
74,1,1.6,2,7,,
638,18,38,57,2.0,,
168,18,4,14,1.8,,
189,8,6,27,3.8,,
316,20,12,32,2.2,,
368,28,23,13,1.5,,
350,19,8,50,4.1,,
494,21,29,37,3.1,,
558,32,26,47,2.8,,
364,22,14,37,2.4,,
355,19,11,46,2.9,,
395,11,17,49,2.0,,
319,23,10,32,1.9,,
346,9,19,36,4.1,,
220,15,6,26,1.5,,
380,13,26,25,1.9,,
627,31,38,40,2.5,,
179,5,15,7,1.7,,
491,41,31,12,3.7,,
47,1,4,4,0.9,,
139,4,13,4,1.1,,
245,5,10,33,2.2,,
306,5,18,32,2.1,,
479,14,35,27,1.2,,
260,13,10,28,2.1,,
388,40,10,31,1.7,,
346,22,14,33,2.5,,
340,16,16,33,1.7,,
371,20,18,33,1.7,,
389,17,17,40,3.1,,
250,9,2,47,1.9,,
401,19,14,50,4.9,,
290,22,14,20,2.2,,
255,18,17,8,1.5,,
183,14,10,10,1.4,,
164,5,,35,0.8,,
122,2,,27,0.5,,
472,26,26,33,0.7,,
193,12,11,13,2.0,,
307,15,17,23,1.2,,
32,1,,7,1.3,,
73,,5,8,1.1,,
81,7,5,2,0.4,,
186,8,14,10,2.2,,
132,4,4,21,1.9,,
160,1,5,29,1.9,,
205,3,13,20,0.4,,
49,,1,11,0.5,,
34,1,1,6,1.1,,
58,1,3,7,1.2,,
156,2,11,14,1.0,,
202,2,8,31,2.1,,
211,3,14,23,1.9,,
230,3,15,21,1.6,,
19,,,4,0.2,,
19,,,4,0.2,,
35,1,,7,0.4,,
75,2,5,6,0.4,,
205,15,11,15,7.7,,
249,4,13,31,2.7,,
234,3,12,29,3.0,,
176,5,11,17,2.5,,
144,2,6,23,2.4,,
88,5,3,9,0.8,,
18,3,1,,0,,
180,12,5,21,1.5,,
41,5,1,1,0,,
185,13,6,18,4.1,,
79,4,3,10,0.8,,
58,2,1,9,0.3,,
135,19,3,7,0.9,,
105,9,2,13,2.1,,
175,13,5,20,0.9,,
142,8,4,20,3.0,,
157,10,5,18,1.6,,
189,8,10,16,0.3,,
202,6,13,16,0.5,,
137,2,9,10,0.5,,
134,6,5,17,0.8,,
155,6,5,24,1.3,,
62,5,2,7,0.8,,
204,10,6,28,1.9,,
193,12,5,27,5.1,,
134,5,3,22,6.1,,
83,5,2,13,0.8,,
29,1,1,5,0.8,,
162,3,8,20,6.2,,
195,12,4,28,4.1,,
190,13,2,31,3.8,,
56,2,1,10,0.5,,
90,2,2,18,1.2,,
90,2,2,19,0.5,,
129,4,4,20,1.3,,
49,3,1,8,1.4,,
83,6,2,11,0.7,,
76,2,2,13,0.5,,
180,4,12,15,1.4,,
18,0,0,5,0,,
21,,,5,0,,
29,1,2,2,0.2,,
154,2,3,31,0.5,,
289,3,14,38,0.6,,
132,3,6,17,1.2,,
246,3,11,35,0.5,,
7,0,,2,0.1,,
5,0,,2,,,
218,3,11,27,0.4,,
65,3,,14,0.9,,
245,3,9,42,1.0,,
203,4,14,14,0.5,,
110,1,,26,1.0,,
135,2,3,24,1.1,,
201,2,9,27,1.1,,
204,2,13,27,2.5,,
235,2,13,29,2.5,,
59,0,0,16,0,,
42,,,10,0.5,,
23,,,5,0.4,,
59,,2,13,0.3,,
116,3,3,20,1.2,,
124,3,4,18,0,,
63,1,,16,0.8,,
52,,,12,0.5,,
289,5,14,41,1.3,,
70,,2,13,0.3,,
84,,1,18,0,,
25,1,0,5,0,,
88,2,0,20,0,,
143,0,0,36,,,
24,0,,6,0,,
11,0,0,3,0,,
22,,0,6,,,
222,5,14,23,1.9,,
266,7,7,43,0.6,,
143,3,6,22,0.9,,
151,3,8,20,0.8,,
237,4,16,21,0.8,,
134,2,6,19,0.6,,
117,5,2,20,0,,
106,3,5,15,0.5,,
282,4,18,25,0,,
153,3,8,18,0.5,,
10,0,,2,0,,
56,,,14,0.2,,
56,,,15,0.2,,
105,0,,26,0.1,,
132,1,1,30,0,,
55,0,,14,0,,
50,,0,13,0.1,,
23,,,6,,,
209,2,11,26,1.0,,
268,4,15,30,1.7,,
62,0,,16,0,,
47,0,0,12,0.1,,
263,5,16,28,1.8,,
208,5,13,20,1.9,,
29,,,7,0.2,,
54,0,0,14,0,,
39,,1,7,0.4,,
181,4,12,18,2.8,,
113,1,2,24,2.6,,
43,,,10,0,,
575,13,20,89,1.9,,
203,2,11,23,2.0,,
4,,0,1,0,,
2,0,0,,0,,
67,,4,8,0,,
209,1,13,24,0.5,,
105,1,,27,0.4,,
110,,,29,0.3,,
16,0,0,4,0,,
2,,,,0.2,,
13,1,,3,1.0,,
27,1,2,3,1.0,,
60,4,,13,4.7,,
21,2,1,3,1.5,,
18,2,,3,1.6,,
33,3,,7,1.2,,
100,6,,18,4.0,,
14,1,,3,1.5,,
22,1,,5,1.9,,
78,1,,20,2.2,,
40,2,,9,1.8,,
28,1,,6,1.9,,
9,,,2,1.6,,
11,1,,2,0.9,,
29,2,,6,2.0,,
16,1,,3,1.1,,
27,3,,5,2.3,,
33,3,,6,3.2,,
17,1,,4,1.3,,
9,1,,2,0.7,,
11,1,,3,0.8,,
50,1,,12,1.0,,
28,1,,7,1.4,,
28,1,,6,1.9,,
25,1,,6,1.5,,
15,1,,3,1.8,,
13,1,,3,0.9,,
6,,,1,0.6,,
44,1,2,8,1.0,,
97,2,1,25,1.8,,
88,3,1,22,2.3,,
82,3,1,19,2.0,,
3,,,1,0.2,,
100,9,4,8,4.3,,
18,,,5,1.3,,
33,4,,6,0.9,,
13,1,,2,1.3,,
18,2,,3,1.6,,
19,1,,4,1.4,,
17,,,4,0.5,,
8,1,,1,0.6,,
8,1,,2,0.7,,
9,1,,2,0.8,,
10,1,,2,1.2,,
12,1,,2,1.1,,
21,2,,4,2.3,,
30,4,1,4,1.9,,
12,2,,2,0.6,,
27,2,,4,2.1,,
15,2,,2,1.0,,
5,,,1,0.4,,
17,,,4,0.6,,
61,,5,4,0.8,,
59,1,,14,2.7,,
62,4,,11,4.0,,
66,4,,12,3.7,,
36,3,,6,2.4,,
14,1,,3,0.6,,
4,,,1,0.4,,
16,1,,4,1.2,,
95,1,9,3,1.3,,
15,1,,4,0.8,,
99,1,9,5,1.3,,
25,1,,6,0.8,,
36,1,2,5,0.6,,
205,4,15,14,1.4,,
145,3,,34,3.4,,
161,4,,37,3.8,,
116,2,,27,1.9,,
129,3,,30,2.5,,
84,2,,19,1.3,,
212,5,,49,5.1,,
156,3,,36,3.4,,
96,2,4,15,1.6,,
180,3,9,23,1.8,,
107,3,4,15,1.1,,
116,2,4,19,2.2,,
120,3,5,16,1.0,,
111,4,5,14,2.5,,
44,1,,10,3.8,,
5,,,1,0.2,,
2,,,,0.2,,
35,1,,8,1.6,,
14,1,,3,1.9,,
8,1,,1,0.1,,
22,3,,4,2.3,,
7,1,,1,0.7,,
61,1,,16,2.1,,
43,1,,11,1.8,,
22,1,,5,0.9,,
51,1,,12,1.9,,
57,1,,13,1.9,,
18,2,,4,1.9,,
61,1,,14,0.5,,
22,1,,5,0.9,,
31,1,,8,0.7,,
143,2,6,21,1.9,,
41,2,,10,1.9,,
35,1,,8,1.4,,
22,1,,5,1.0,,
22,1,,5,1.5,,
5,,,1,0.2,,
6,,,1,0.2,,
18,1,,4,1.6,,
24,1,,6,0.7,,
28,1,,6,1.0,,
29,1,,6,1.8,,
22,2,,4,2.4,,
63,3,,13,2.8,,
51,3,,11,2.7,,
6,,,1,0.4,,
15,1,,4,1.3,,
